time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
9.88,1544679445,87.11,51.449335,7.488413,247.24,12.11,0.17,176.91,1,-100,-9,8,11,39,6,28371201,66,0,5.00,14.88,40.00,1815
19.76,1544679455,221.49,51.448122,7.488062,248.81,14.10,-0.42,193.78,1,-93,-9,0,10,43,10,27771906,486,1,2.00,6.02,58.00,870
29.83,1544679465,358.97,51.446873,7.487924,255.03,14.01,0.04,171.95,1,-93,-13,13,14,48,10,27771906,486,2,4.00,1.43,66.00,870
52.34,1544679487,683.33,51.444774,7.491271,277.34,8.00,-1.48,127.38,1,-89,-13,-1,7,54,6,27771904,487,4,4.00,2.46,74.00,870
61.42,1544679496,709.04,51.444654,7.491542,277.38,3.24,1.61,128.97,1,-88,-12,0,15,49,6,27771904,487,5,7.00,4.97,823.00,870
69.97,1544679505,757.59,51.444248,7.491504,275.38,9.73,0.56,215.60,1,-81,-11,4,9,61,6,27771904,487,6,5.00,7.62,149.00,870
79.77,1544679515,882.53,51.443328,7.490407,272.96,14.52,0.08,216.76,1,-76,-5,29,12,55,6,27771904,487,7,1.00,5.44,38.00,870
89.80,1544679525,1023.09,51.442327,7.489217,277.79,14.61,0.03,216.64,1,-63,-5,23,13,63,6,27771904,487,8,10.00,11.25,38.00,870
99.85,1544679535,1164.85,51.441394,7.487700,277.67,14.26,0.00,230.73,1,-62,-9,32,15,63,6,27771904,487,9,0.50,3.73,46.00,870
109.83,1544679545,1311.85,51.440607,7.485979,279.89,14.60,0.15,233.03,1,-56,-6,27,12,63,1,27771905,488,10,0.50,10.47,39.00,870
119.78,1544679555,1462.04,51.439783,7.484264,279.70,14.79,-0.34,233.13,1,-61,-6,27,13,63,1,27771905,488,11,6.00,23.05,70.00,870
129.76,1544679565,1611.68,51.439053,7.482431,282.36,15.09,0.17,240.23,1,-78,-6,16,11,55,1,27771905,488,12,1.00,2.52,85.00,870
139.91,1544679576,1761.87,51.438368,7.480403,289.73,15.52,0.03,239.98,1,-95,-8,3,12,41,1,27771905,488,13,10.00,2.67,56.00,870
154.02,1544679589,1984.47,51.437427,7.477593,286.81,13.11,-0.37,243.17,1,-98,-16,-11,1,42,9,27771905,488,14,4.00,1.80,1774.00,870
163.34,1544679598,2086.57,51.437319,7.476242,285.42,7.22,-0.82,322.29,1,-92,-13,-6,6,53,9,27771905,488,15,0.50,0.54,1714.00,870
170.42,1544679605,2147.93,51.437815,7.476850,287.44,14.46,3.13,54.75,1,-78,-10,9,13,57,9,27771905,488,16,9.00,8.09,372.00,870
179.74,1544679615,2312.60,51.438590,7.478646,287.41,22.52,0.81,58.46,1,-76,-9,14,12,58,9,27771905,488,17,9.00,11.20,38.00,870
